"Refid","Author","Title","Abstract","Accession Number","Art. no.","Article Number","Author Address","Author keywords","Author(s) id","Cited by","Comments","Custom 4","Custom 5","Database","Database Provider","Date","distiller_reference_created_date","distiller_reference_upload_date","Document type","DOI","Eid","Epub Date","File attachment","Index keywords","ISSN","Issue","Journal","Keywords","Label","Language","Legal Note","Level","Link","min_level","NIHMSID","Notes","Number","Open access","Original Publication","Page count","Page end","Page start","Pages","Place Published","PMCID","Publication stage","Publisher","Pubmed id","Rapidscreening","Research Notes","Secondary Author","Section","Short Title","Source","Source title","Translated Title","Type","Type of Work","URL","User","Volume","Year"
128,"Abenayake, C. C., Mikami, Y., Matsuda, Y.","Ecosystem services-based composite indicator for assessing community resilience to floods","… the pollution levels of water bodies. Therefore, assessing the community resilience requires … The ESs-based conceptual framework that was developed in this study emphasizes the role …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Environmental …",,,,,,,,,"Cited By (since 2018): 43",,,,,,,,,,,,,,,,,"Ecosystem services-based composite indicator for assessing community resilience to floods",,,,JOUR,,"https://www.sciencedirect.com/science/article/pii/S2211464517301057 https://www.researchgate.net/profile/Amila-Jayasinghe/publication/327034449_Ecosystem_services-based_composite_indicator_for_assessing_community_resilience_to_floods/links/5c3d2144299bf12be3c89941/Ecosystem-services-based-composite-indicator-for-assessing-community-resilience-to-floods.pdf",,,2018
129,"Ahmadi, Z., Ghasemi, M.","Integrating flood and earthquake resilience: a framework for assessing urban community resilience against multiple hazards","… earthquake off the Pacific coast of Japan not only caused a tsunami but also led to a nuclear meltdown at a power plant, resulting in a hazardous radiation leak that contaminated the …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Journal of Safety …",,,,,,,,,"Cited By (since 2024): 1",,,,,,,,,,,,,,,,,"Integrating flood and earthquake resilience: a framework for assessing urban community resilience against multiple hazards",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2666449624000392,,,2024
130,"Almutairi, Arif, Mourshed, Monjur, Ameen, Raed Fawzi Mohammed","Coastal community resilience frameworks for disaster risk management","… community resilience assessment frameworks, a broad-based search strategy was implemented to develop knowledge regarding current assessment frameworks and … pollution control. …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/s11069-020-03875-3,,,,,"0921-030X 1573-0840",2,"Natural Hazards",,,,,,,,,"Cited By (since 2020): 87",,,,,,,595-630,,,,,,,,,595,"Coastal community resilience frameworks for disaster risk management",,,,JOUR,,https://link.springer.com/article/10.1007/s11069-020-03875-3,,101,2020
131,"Alshehri, Saud Ali, Rezgui, Yacine, Li, Haijiang","Delphi-based consensus study into a framework of community resilience to disaster","… as transportation systems, electric power and telephone; brown field treatment (contaminated land with low levels of hazardous waste and pollutants); and immunisation programmes. …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/s11069-014-1423-x,,,,,"0921-030X 1573-0840",3,"Natural Hazards",,,,,,,,,"Cited By (since 2015): 135",,,,,,,2221-2245,,,,,,,,,2221,"Delphi-based consensus study into a framework of community resilience to disaster",,,,JOUR,,https://link.springer.com/article/10.1007/s11069-014-1423-x,,75,2014
132,"Amin Enderami, S., Mazumder, Ram K., Dumler, Meredith, Sutley, Elaina J.","Virtual Testbeds for Community Resilience Analysis: State-of-the-Art Review, Consensus Study, and Recommendations","… The testbed is used for evaluating existing resilience assessment frameworks for Chinese cities. … “An agent-based modeling approach for simulating contamination events applied to the …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1061/(asce)nh.1527-6996.0000582,,,,,"1527-6988 1527-6996",4,"Natural Hazards Review",,,,,,,,,"Cited By (since 2022): 12",,,,,,,,,,,,,,,,,"Virtual Testbeds for Community Resilience Analysis: State-of-the-Art Review, Consensus Study, and Recommendations",,,,JOUR,,"https://ascelibrary.org/doi/abs/10.1061/(ASCE)NH.1527-6996.0000582 https://par.nsf.gov/servlets/purl/10394596",,23,2022
133,"Archer, Diane, Marome, Wijitbusaba, Natakun, Boonanan, Mabangyang, Pattaradeth, Phanthuwongpakdee, Nuttavikhom","The role of collective and individual assets in building urban community resilience","… additional health hazards coming from the polluted waterways. … environmental hazards, including air and water pollution. … Based on these, we develop an asset adaptation framework, …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1080/19463138.2019.1671425,,,,,"1946-3138 1946-3146",2,"International Journal of Urban Sustainable Development",,,,,,,,,"Cited By (since 2020): 26",,,,,,,169-186,,,,,,,,,169,"The role of collective and individual assets in building urban community resilience",,,,JOUR,,"https://www.tandfonline.com/doi/abs/10.1080/19463138.2019.1671425 https://www.tandfonline.com/doi/pdf/10.1080/19463138.2019.1671425",,12,2019
134,"Atreya, A., Kunreuther, H.","Measuring community resilience: the role of the community rating system (CRS)","… community resilience, in this paper, we focus on the flood hazard, but the framework can be … The stormwater BMP prevents stormwater pollution, improving the quality of natural capital …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Available at SSRN 2788230",,,,,,,,,"Cited By (since 2016): 28",,,,,,,,,,,,,,,,,"Measuring community resilience: the role of the community rating system (CRS)",,,,JOUR,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2788230,,,2016
135,"Atreya, A., Kunreuther, H.","Assessing community resilience: mapping the community rating system (CRS) against the 6C-4R frameworks","This paper introduces an holistic approach to assessing community resilience in the United States with respect to hazards by inventorying a community's strengths: Financial, Human, …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.4324/9781003171430-4/assessing-community-resilience-mapping-community-rating-system-crs-6c-4r-frameworks-ajita-atreya-howard-kunreuther,,,,,,,"Environmental Hazards and Resilience",,,,,,,,,"Cited By (since 2021): 12",,,,,,,,,,,,,,,,,"Assessing community resilience: mapping the community rating system (CRS) against the 6C-4R frameworks",,,,JOUR,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003171430-4/assessing-community-resilience-mapping-community-rating-system-crs-6c-4r-frameworks-ajita-atreya-howard-kunreuther,,,2021
136,"Bandyopadhyay, Chandrani, Philip, P. J.","A Safe City Approach to Urban Sustainability: Developing a Framework for Community Resilience","… sinking, vector-borne diseases and epidemics, extreme heat and cold wave leads to higher morbidity and mortality, heat island effect, increased energy demand, water and air pollution, …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1177/0019556120150103,,,,,"0019-5561 2457-0222",1,"Indian Journal of Public Administration",,,,,,,,,"Cited By (since 2015): 3",,,,,,,40-56,,,,,,,,,40,"A Safe City Approach to Urban Sustainability: Developing a Framework for Community Resilience",,,,JOUR,,https://journals.sagepub.com/doi/abs/10.1177/0019556120150103,,61,2017
137,"Bento, F., Couto, K. C.","A behavioral perspective on community resilience during the COVID-19 pandemic: The case of Paraisópolis in São Paulo, Brazil","… lack of a general framework combining multidisciplinary aspects of community resilience [23]… registered lower levels of social distancing and higher contamination and death rates [53,54]…",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,Sustainability,,,,,,,,,"Cited By (since 2021): 46",,,,,,,,,,,,,,,,,"A behavioral perspective on community resilience during the COVID-19 pandemic: The case of Paraisópolis in São Paulo, Brazil",,,,JOUR,,https://www.mdpi.com/2071-1050/13/3/1447,,,2021
