Name,ID
Kristopher Abbate,https://openalex.org/A5060452023
Gebran Abboud,NA
Tushar Acharya,https://openalex.org/A5024739928
Depak Acharya,NA
Govinda Adhikari,https://openalex.org/A5055306359
Govinda Adhikari,https://openalex.org/A5060564317
Avin Aggarwal,https://openalex.org/A5009397644
Ahmad M A Al-Khashman,NA
Mohanad Al-Obaidi,https://openalex.org/A5045990380
Mohanad Al-Obaidi,https://openalex.org/A5042401889
Mohanad Al-Obaidi,https://openalex.org/A5088001826
Alvaro Altamirano Ufion,https://openalex.org/A5008626048
Akshay Amaraneni,https://openalex.org/A5072834309
Venkatesh Ariyamuthu,https://openalex.org/A5022492748
Junaid Arshad,https://openalex.org/A5061555101
Junaid Arshad,https://openalex.org/A5092965372
Danielle Avila,https://openalex.org/A5030095085
Mimi Bach,https://openalex.org/A5083045648
Aurangzaib Baig,NA
Amanpreet Bains,NA
Kanwal Bains,https://openalex.org/A5009352959
Kanwal Bains,https://openalex.org/A5027512162
Rilwan Balogun,https://openalex.org/A5040362845
Babitha Bijin,https://openalex.org/A5072834970
Jawad Bilal,https://openalex.org/A5059430672
Maria Bishop,https://openalex.org/A5055975808
Billie Bixby,https://openalex.org/A5018252846
Geoffrey Block,https://openalex.org/A5072020289
Fernando Blumenkron,https://openalex.org/A5048941269
Fernando Blumenkron,https://openalex.org/A5048941269
Joy Bulger Beck,NA
Janet Campion,https://openalex.org/A5007279077
Janet Campion,https://openalex.org/A5059399652
Arista Chand,https://openalex.org/A5015339797
Vijay Chandiramani,https://openalex.org/A5018157428
Vijay Chandiramani,https://openalex.org/A5072167300
Arka Chatterjee,https://openalex.org/A5055127691
Sachin Chaudhary,https://openalex.org/A5015736770
Sachin Chaudhary,https://openalex.org/A5021789119
Sachin Chaudhary,https://openalex.org/A5079086397
Satypriya Chaudhary,NA
Madhav Chopra,https://openalex.org/A5040916056
Zachary Chun,NA
Ian Coe,https://openalex.org/A5086760512
Nathan Copeland,https://openalex.org/A5078615009
Nathan Copeland,https://openalex.org/A5002618323
Michel Corban,https://openalex.org/A5049816993
Julia Cremer,https://openalex.org/A5039918198
Meenakshi Dagar,https://openalex.org/A5090908936
Soham Dave,NA
Abhinav Dhakal,NA
John Dicken,https://openalex.org/A5049029695
Kathy Drinkwater,https://openalex.org/A5011646913
Jason Dupont,https://openalex.org/A5075911751
Michael Durando,https://openalex.org/A5043603564
Sima Ehsani Chimeh,https://openalex.org/A5079841469
Tammer Yehia Elaini,NA
Halil Erol,https://openalex.org/A5020624718
Lauren Estep,https://openalex.org/A5066376158
