surname,FIRST NAME,cn
Ainapurapu,Bujji,Bujji B Ainapurapu
Albuquerque Ferreira,Joao P.,Joao Paulo Albuquerque Ferreira
Alpert,Joseph S.,Joseph S Alpert
Banerjee,Bhaskar,Bhaskar Banerjee
Bime,Christian,Christian Bime
Brosius III,Frank,Frank Brosius
Butler,Daniel,Daniel C Butler
Carew,Jennifer,Jennifer S Carew
Carr,Tara,Tara F Carr
Coletta,Dawn,Dawn K Coletta
Connick,Liz,Elizabeth Connick
Culpepper,Keliegh,Keliegh S Culpepper
Curiel,Clara N.,Clara N Curiel
Donovan,Fariba,Fariba Donovan
Fain,Mindy J.,Mindy J Fain
Funk,Janet L.,Janet L Funk
Galgiani,John,John N Galgiani
Garland,Linda L.,Linda L Garland
Gelmann,Edward,Edward P Gelmann
Indik,Julia H.,Julia H Indik
Klotz,Stephen  A.,Stephen A Klotz
Knepler,James L.,James L Knepler
Kominos,Vivian,Vivian Akrive Kominos
Kwoh,C. Kent,C. Kent Kwoh
Langlais,Paul,Paul R Langlais
Li,Xingnan,Xingnan Li
Liao,James,James Kuang-Jan Liao
Luo,Moulun,Moulun Luo
Malo,Joshua,Joshua Malo
Mandarino,Larry,Lawrence J Mandarino
Meinke,Laura,Laura E Meinke
Merchant,Juanita,Juanita L Merchant
Nawrocki,Steffan,Steffan Nawrocki
Parthasarathy,Sairam,Sairam Parthasarathy
Patel,Salma,Salma Imran Patel
Phillips,Linda,Linda R Phillips
Rischard,Franz,Franz Rischard
Sammani,Saad,Saad Sammani
Shroff,Rachna,Rachna Shroff
Sladojevic,Nikola,Nikola Sladojevic
Slepian,Marvin L.,Marvin J Slepian
Stern,Jennifer,Jennifer H Stern
Sussman,Amy,Amy N Sussman
Taleban,Sasha,Sasha Taleban
Tanriover,Bekir,Bekir Tanriover
Vemulapalli,Tejo,Tejo K Vemulapalli
Willis,Wayne,Wayne Tyrus Willis
Zangeneh,Tirdad,Tirdad T Zangeneh
